ride_id,payment_method,travel_from,car_type,max_capacity,time,day_of_week,total_riders,p_seats_taken
1442,Mpesa,Migori,Bus,49,2017-10-17 07:15:00,Tuesday,1,0.02040816326530612
5437,Mpesa,Migori,Bus,49,2017-11-19 07:12:00,Sunday,1,0.02040816326530612
5710,Mpesa,Keroka,Bus,49,2017-11-26 07:05:00,Sunday,1,0.02040816326530612
5777,Mpesa,Homa Bay,Bus,49,2017-11-27 07:10:00,Monday,5,0.10204081632653061
5777,Mpesa,Homa Bay,Bus,49,2017-11-27 07:10:00,Monday,5,0.10204081632653061
5777,Mpesa,Homa Bay,Bus,49,2017-11-27 07:10:00,Monday,5,0.10204081632653061
5777,Mpesa,Homa Bay,Bus,49,2017-11-27 07:10:00,Monday,5,0.10204081632653061
5777,Mpesa,Homa Bay,Bus,49,2017-11-27 07:10:00,Monday,5,0.10204081632653061
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5778,Mpesa,Migori,Bus,49,2017-11-27 07:12:00,Monday,31,0.6326530612244898
5781,Mpesa,Homa Bay,Bus,49,2017-11-27 07:09:00,Monday,26,0.5306122448979592
5781,Mpesa,Homa Bay,Bus,49,2017-11-27 07:09:00,Monday,26,0.5306122448979592
5781,Mpesa,Homa Bay,Bus,49,2017-11-27 07:09:00,Monday,26,0.5306122448979592
5781,Mpesa,Homa Bay,Bus,49,2017-11-27 07:09:00,Monday,26,0.5306122448979592
5781,Mpesa,Homa Bay,Bus,49,2017-11-27 07:09:00,Monday,26,0.5306122448979592
5781,Mpesa,Homa Bay,Bus,49,2017-11-27 07:09:00,Monday,26,0.5306122448979592
5781,Mpesa,Homa Bay,Bus,49,2017-11-27 07:09:00,Monday,26,0.5306122448979592
5781,Mpesa,Homa Bay,Bus,49,2017-11-27 07:09:00,Monday,26,0.5306122448979592
5781,Mpesa,Homa Bay,Bus,49,2017-11-27 07:09:00,Monday,26,0.5306122448979592
